fecha;serie_hidrologica;region_hidrologica;aporte_hidrico
2023-01-04;PLAYGUAT;Antioquia;2328800
2023-01-04;PP-2POR1;Antioquia;1945200
2023-01-04;PP-3PORC;Antioquia;1366300
2023-01-04;PUNCGUAT;Antioquia;3238700
2023-01-04;QUBRRGRD;Antioquia;63500
2023-01-04;RGR2RGRD;Antioquia;8472700
2023-01-04;SLORNARE;Antioquia;4394000
2023-01-04;SMIGCALD;Antioquia;1097300
2023-01-04;TRONGUAD;Antioquia;3330900
2023-01-04;DESVGUAR;Caldas;826500
2023-01-04;DESVMANS;Caldas;77900
2023-01-04;PTEHMIEL;Caldas;4428400
2023-01-04;URR1SINU;Caribe;1930800
2023-01-04;ALICBOGO;Centro;17713400
2023-01-04;AMOYAMOY;Centro;958700
2023-01-04;BETAMAG1;Centro;1865800
2023-01-04;CUCUCUCU;Centro;561000
2023-01-04;DESVSMAR;Centro;148500
2023-01-04;EMBAPRAD;Centro;2619400
2023-01-04;QUIMMAGD;Centro;6055500
2023-01-04;SOGASOGA;Centro;7880400
2023-01-04;DESVBATA;Oriente;32100
2023-01-04;DESVCHIV;Oriente;524700
2023-01-04;EMBACHUZ;Oriente;559100
2023-01-04;EMBAGUAV;Oriente;4304400
2023-01-04;ESMEBATA;Oriente;3613600
2023-01-04;ALTOANCH;Valle;3792300
2023-01-04;BAJOANCH;Valle;358100
2023-01-04;CAL1CALM;Valle;552400
2023-01-04;FLR2CAUC;Valle;207200
2023-01-04;SALVCAUC;Valle;12011700
2023-01-05;BOCATENC;Antioquia;1101400
2023-01-05;CLLRPORC;Antioquia;6557200
2023-01-05;DESVIEPM;Antioquia;2252100
2023-01-05;ITUACAUC;Antioquia;49888600
2023-01-05;MIRFTENC;Antioquia;1030000
2023-01-05;PENONARE;Antioquia;12077300
2023-01-05;PLAYGUAT;Antioquia;5023900
2023-01-05;PP-2POR1;Antioquia;2791800
2023-01-05;PP-3PORC;Antioquia;1995800
2023-01-05;PUNCGUAT;Antioquia;4294200
2023-01-05;QUBRRGRD;Antioquia;75300
2023-01-05;RGR2RGRD;Antioquia;10043300
2023-01-05;SLORNARE;Antioquia;4736900
2023-01-05;SMIGCALD;Antioquia;1458200
2023-01-05;TRONGUAD;Antioquia;3635900
2023-01-05;DESVGUAR;Caldas;629200
2023-01-05;DESVMANS;Caldas;102900
2023-01-05;PTEHMIEL;Caldas;3905900
2023-01-05;URR1SINU;Caribe;1776600
2023-01-05;ALICBOGO;Centro;9717000
2023-01-05;AMOYAMOY;Centro;998200
2023-01-05;BETAMAG1;Centro;2103600
2023-01-05;CUCUCUCU;Centro;561000
2023-01-05;DESVSMAR;Centro;148500
2023-01-05;EMBAPRAD;Centro;1117900
2023-01-05;QUIMMAGD;Centro;5693300
2023-01-05;SOGASOGA;Centro;6887000
2023-01-05;DESVBATA;Oriente;28800
2023-01-05;DESVCHIV;Oriente;367000
2023-01-05;EMBACHUZ;Oriente;559100
2023-01-05;EMBAGUAV;Oriente;3018300
2023-01-05;ESMEBATA;Oriente;4421300
2023-01-05;ALTOANCH;Valle;2911900
2023-01-05;BAJOANCH;Valle;289500
2023-01-05;CAL1CALM;Valle;418900
2023-01-05;FLR2CAUC;Valle;188200
2023-01-05;SALVCAUC;Valle;10641800
2023-01-06;BOCATENC;Antioquia;1303700
2023-01-06;CLLRPORC;Antioquia;7379700
2023-01-06;DESVIEPM;Antioquia;2655600
2023-01-06;ITUACAUC;Antioquia;44761000
2023-01-06;MIRFTENC;Antioquia;993000
2023-01-06;PENONARE;Antioquia;14723800
2023-01-06;PLAYGUAT;Antioquia;3410900
2023-01-06;PP-2POR1;Antioquia;2678900
2023-01-06;PP-3PORC;Antioquia;793400
2023-01-06;PUNCGUAT;Antioquia;4625100
2023-01-06;QUBRRGRD;Antioquia;98400
2023-01-06;RGR2RGRD;Antioquia;13117200
2023-01-06;SLORNARE;Antioquia;4943500
2023-01-06;SMIGCALD;Antioquia;1290400
2023-01-06;TRONGUAD;Antioquia;3488400
2023-01-06;DESVGUAR;Caldas;519700
2023-01-06;DESVMANS;Caldas;120400
2023-01-06;PTEHMIEL;Caldas;4744600
2023-01-06;URR1SINU;Caribe;2211900
2023-01-06;ALICBOGO;Centro;14095100
2023-01-06;AMOYAMOY;Centro;1316800
2023-01-06;BETAMAG1;Centro;2630200
2023-01-06;CUCUCUCU;Centro;1054900
2023-01-06;DESVSMAR;Centro;275500
2023-01-06;EMBAPRAD;Centro;1471000
2023-01-06;QUIMMAGD;Centro;8428900
2023-01-06;SOGASOGA;Centro;8252200
2023-01-06;DESVBATA;Oriente;26600
2023-01-06;DESVCHIV;Oriente;402400
2023-01-06;EMBACHUZ;Oriente;366200
2023-01-06;EMBAGUAV;Oriente;3302600
2023-01-06;ESMEBATA;Oriente;3435400
2023-01-06;ALTOANCH;Valle;4299700
2023-01-06;BAJOANCH;Valle;397600
2023-01-06;CAL1CALM;Valle;471900
2023-01-06;FLR2CAUC;Valle;243800
2023-01-06;SALVCAUC;Valle;11610500
2023-01-07;BOCATENC;Antioquia;1506600
2023-01-07;CLLRPORC;Antioquia;5872800
2023-01-07;DESVIEPM;Antioquia;2917400
2023-01-07;ITUACAUC;Antioquia;48462600
2023-01-07;MIRFTENC;Antioquia;1281000
2023-01-07;PENONARE;Antioquia;16035600
2023-01-07;PLAYGUAT;Antioquia;8417000
2023-01-07;PP-2POR1;Antioquia;4057200
2023-01-07;PP-3PORC;Antioquia;830200
2023-01-07;PUNCGUAT;Antioquia;10846300
2023-01-07;QUBRRGRD;Antioquia;85300
2023-01-07;RGR2RGRD;Antioquia;11383500
2023-01-07;SLORNARE;Antioquia;15591400
2023-01-07;SMIGCALD;Antioquia;1790100
